meeting,date,duration,agenda,video,duration_minutes
Regular Council Meeting,"March  5, 2025
                                                                                                                                      -
                                                                                               5:02 PM",00h 39m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6412,,39
Regular Council Meeting,"February 26, 2025
                                                                                                                                      -
                                                                                               5:00 PM",00h 38m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6399,,38
Regular Council Meeting,"February 12, 2025
                                                                                                                                      -
                                                                                               5:00 PM",00h 31m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6386,,31
Regular Council Meeting,"February  5, 2025
                                                                                                                                      -
                                                                                               5:00 PM",00h 29m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6374,,29
Regular Council Meeting,"January 29, 2025
                                                                                                                                      -
                                                                                               5:03 PM",01h 13m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6363,,73
Regular Council Meeting,"January 15, 2025
                                                                                                                                      -
                                                                                               5:02 PM",00h 43m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6345,,43
Regular Council Meeting,"January  8, 2025
                                                                                                                                      -
                                                                                               5:00 PM",00h 43m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6338,,43
Council Public Works Committee,"March  5, 2025
                                                                                                                                      -
                                                                                               2:32 PM",01h 35m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6410,,95
Council Public Works Committee,"February 26, 2025
                                                                                                                                      -
                                                                                               2:32 PM",00h 40m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6398,,40
Council Public Works Committee,"February 12, 2025
                                                                                                                                      -
                                                                                               2:30 PM",01h 11m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6385,,71
Council Public Works Committee,"January 15, 2025
                                                                                                                                      -
                                                                                               2:31 PM",01h 13m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6344,,73
Council Public Works Committee,"January  8, 2025
                                                                                                                                      -
                                                                                               2:30 PM",00h 24m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6337,,24
Council Urban & Economic Development Committee,"March  5, 2025
                                                                                                                                      -
                                                                                              10:32 AM",01h 48m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6408,,108
Council Urban & Economic Development Committee,"February 26, 2025
                                                                                                                                      -
                                                                                              10:32 AM",01h 18m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6395,,78
Council Urban & Economic Development Committee,"February 12, 2025
                                                                                                                                      -
                                                                                              10:30 AM",01h 26m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6384,,86
Council Urban & Economic Development Committee,"February  5, 2025
                                                                                                                                      -
                                                                                              10:30 AM",00h 44m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6372,,44
Council Urban & Economic Development Committee,"January 29, 2025
                                                                                                                                      -
                                                                                              10:33 AM",02h 03m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6362,,123
Council Urban & Economic Development Committee,"January 15, 2025
                                                                                                                                      -
                                                                                              10:31 AM",01h 53m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6343,,113
Council Urban & Economic Development Committee,"January  8, 2025
                                                                                                                                      -
                                                                                              10:30 AM",01h 23m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6335,,83
African American Affairs Commission,"February 11, 2025
                                                                                                                                      -
                                                                                               6:00 PM",01h 10m,,,70
African American Affairs Commission,"January 14, 2025
                                                                                                                                      -
                                                                                               6:03 PM",01h 07m,,,67
Animal Welfare Commission,"January 13, 2025
                                                                                                                                      -
                                                                                               6:00 PM",00h 41m,,,41
Asian American Affairs Commission,"March  4, 2025
                                                                                                                                      -
                                                                                              12:00 PM",00h 57m,,,57
Asian American Affairs Commission,"February  4, 2025
                                                                                                                                      -
                                                                                              12:00 PM",04h 00m,,,240
Asian American Affairs Commission,"January  7, 2025
                                                                                                                                      -
                                                                                              12:01 PM",01h 01m,,,61
Board of Adjustment,"February 25, 2025
                                                                                                                                      -
                                                                                               1:07 PM",03h 40m,,,220
Board of Adjustment,"February 11, 2025
                                                                                                                                      -
                                                                                               1:06 PM",03h 07m,,,187
Board of Adjustment,"January 28, 2025
                                                                                                                                      -
                                                                                               1:03 PM",03h 00m,,,180
Hispanic/LatinX Affairs Commission,"February 13, 2025
                                                                                                                                      -
                                                                                               6:02 PM",01h 07m,,,67
HUD Community Development Committee,"February  6, 2025
                                                                                                                                      -
                                                                                               4:07 PM",01h 11m,,,71
HUD Community Development Committee,"February  4, 2025
                                                                                                                                      -
                                                                                               4:05 PM",01h 46m,,,106
Human Rights Commission,"February 17, 2025
                                                                                                                                      -
                                                                                               3:33 PM",01h 16m,,,76
Human Rights Commission,"January 27, 2025
                                                                                                                                      -
                                                                                               3:32 PM",01h 11m,,,71
Indian Affairs Commission,"February 25, 2025
                                                                                                                                      -
                                                                                               6:02 PM",00h 43m,,,43
Indian Affairs Commission,"January 28, 2025
                                                                                                                                      -
                                                                                               6:00 PM",01h 04m,,,64
Tulsa Metropolitan Area Planning Commission,"March  5, 2025
                                                                                                                                      -
                                                                                               1:00 PM",00h 13m,,,13
Tulsa Metropolitan Area Planning Commission,"February  5, 2025
                                                                                                                                      -
                                                                                               1:00 PM",08h 00m,,,480
Tulsa Metropolitan Area Planning Commission,"January 22, 2025
                                                                                                                                      -
                                                                                               1:00 PM",00h 28m,,,28
Tulsa Metropolitan Area Planning Commission,"January  8, 2025
                                                                                                                                      -
                                                                                               1:00 PM",00h 05m,,,5
Tribal Nations Relations Committee,"February  3, 2025
                                                                                                                                      -
                                                                                              10:11 AM",00h 46m,,,46
Tulsa Authority for Economic Opportunity,"February 27, 2025
                                                                                                                                      -
                                                                                               9:01 AM",03h 43m,,,223
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"January 23, 2025
                                                                                                                                      -
                                                                                               9:01 AM",02h 36m,,,156
Tulsa Authority for the Recovery of Energy,"February 25, 2025
                                                                                                                                      -
                                                                                               3:41 PM",00h 47m,,,47
Tulsa Authority for the Recovery of Energy,"January 28, 2025
                                                                                                                                      -
                                                                                               3:30 PM",00h 25m,,,25
Tulsa Development Authority,"February 27, 2025
                                                                                                                                      -
                                                                                               9:15 AM",03h 43m,,,223
Tulsa Women's Commission,"March  7, 2025
                                                                                                                                      -
                                                                                              12:00 PM",04h 00m,,,240
Tulsa Women's Commission,"February  7, 2025
                                                                                                                                      -
                                                                                              12:00 PM",01h 04m,,,64
Regular Council Meeting,"December 18, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 21m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6328,,21
Regular Council Meeting,"December 11, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 23m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6323,,23
Regular Council Meeting,"December  4, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 29m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6318,,89
Regular Council Meeting,"November 20, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 11m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6311,,71
Regular Council Meeting,"November  6, 2024
                                                                                                                                      -
                                                                                               5:05 PM",02h 39m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6288,,159
Regular Council Meeting,"October 30, 2024
                                                                                                                                      -
                                                                                               5:00 PM",03h 21m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6284,,201
Regular Council Meeting,"October 16, 2024
                                                                                                                                      -
                                                                                               5:01 PM",00h 54m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6261,,54
Regular Council Meeting,"September 25, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 30m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6238,,90
Regular Council Meeting,"September 18, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 40m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6226,,100
Regular Council Meeting,"September 11, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 41m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6211,,41
Regular Council Meeting,"August 28, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 23m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6189,,23
Regular Council Meeting,"August 21, 2024
                                                                                                                                      -
                                                                                               5:02 PM",01h 32m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6177,,92
Regular Council Meeting,"August  7, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 44m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6165,,44
Regular Council Meeting,"July 31, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 25m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6157,,85
Regular Council Meeting,"July 24, 2024
                                                                                                                                      -
                                                                                               5:03 PM",00h 52m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6149,,52
Regular Council Meeting,"July 17, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 40m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6144,,100
Regular Council Meeting,"June 26, 2024
                                                                                                                                      -
                                                                                               5:00 PM",02h 10m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6133,,130
Regular Council Meeting,"June 12, 2024
                                                                                                                                      -
                                                                                               5:00 PM",02h 07m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6123,,127
Regular Council Meeting,"June  5, 2024
                                                                                                                                      -
                                                                                               5:01 PM",01h 13m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6110,,73
Regular Council Meeting,"May 22, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 26m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6099,,86
Regular Council Meeting,"May 15, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 41m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6095,,41
Regular Council Meeting,"May  8, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 45m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6088,,45
Regular Council Meeting,"May  1, 2024
                                                                                                                                      -
                                                                                               5:00 PM",02h 53m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6082,,173
Regular Council Meeting,"April 17, 2024
                                                                                                                                      -
                                                                                               5:00 PM",02h 29m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6070,,149
Regular Council Meeting,"April 10, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 02m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6061,,62
Regular Council Meeting,"March 27, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 56m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6050,,56
